Car VIN          ,Type of Car,# of seats,Avg. distance of rides,Avg. # of customers per day,Avg. Price per minute,Date      ,Time ,Location lonitude (current),Location latitude (current),Tank Filling (current)
WBSVA93578E429660,Car2Go     ,3         ,68km                  ,12                         ,54�                  ,12.7.2018 ,22.26,11.53062261                ,48.439652                  ,0%
1G6DJ8EV6A0576990,Drive Now  ,5         ,40km                  ,28                         ,69�                  ,3.7.2019  ,0.36 ,11.40590178                ,48.17877777                ,13%
5NPDH4AE0CH394361,Car2Go     ,5         ,40km                  ,19                         ,67�                  ,26.12.2019,5.45 ,11.57548438                ,48.18434555                ,92%
WAUED64B01N235878,Car2Go     ,2         ,54km                  ,7                          ,88�                  ,8.1.2019  ,14.55,11.68373963                ,48.20698568                ,14%
2G61S5S33E9877097,Drive Now  ,3         ,75km                  ,21                         ,64�                  ,26.1.2018 ,3.31 ,11.62418123                ,48.13058181                ,9%
WP0AA2A94CS764565,Car2Go     ,4         ,86km                  ,19                         ,60�                  ,9.5.2019  ,11.22,11.52644804                ,48.5203453                 ,81%
3D73M4HL3BG353991,Drive Now  ,4         ,47km                  ,24                         ,86�                  ,31.4.2019 ,20.34,11.44102426                ,48.11806144                ,20%
JA32X2HU2DU235942,Drive Now  ,3         ,74km                  ,24                         ,57�                  ,25.11.2018,2.36 ,11.5709966                 ,48.3011406                 ,62%
1VWAH7A33DC220118,Drive Now  ,5         ,9km                   ,22                         ,53�                  ,31.11.2017,12.46,11.21959184                ,48.20081913                ,98%
SALAC2D44AA285004,Drive Now  ,5         ,81km                  ,2                          ,33�                  ,4.9.2017  ,10.47,11.56776268                ,48.1927227                 ,38%
WAULF98K69N904566,Drive Now  ,5         ,86km                  ,17                         ,88�                  ,27.8.2018 ,0.25 ,11.53961356                ,48.21261012                ,31%
1G6AP5SX5F0544884,Car2Go     ,3         ,5km                   ,8                          ,60�                  ,25.1.2019 ,2.53 ,11.43051101                ,48.12964140                ,82%
1N6AF0LX1FN004482,Drive Now  ,3         ,90km                  ,25                         ,50�                  ,9.1.2018  ,1.3  ,11.47194547                ,48.23083024                ,45%
TRUWT28N441095990,Car2Go     ,5         ,27km                  ,14                         ,71�                  ,7.8.2017  ,15.5 ,11.61598670                ,48.25328454                ,82%
WBA3B9C55DF540849,Car2Go     ,4         ,7km                   ,19                         ,25�                  ,20.2.2019 ,6.21 ,11.53867414                ,48.1437422                 ,41%
KMHFH4JG0FA834922,Car2Go     ,5         ,26km                  ,22                         ,28�                  ,2.8.2019  ,8.47 ,11.74678333                ,48.2709722                 ,29%
3N1AB6AP6BL992523,Car2Go     ,3         ,15km                  ,7                          ,46�                  ,1.7.2019  ,3.41 ,11.13032396                ,48.6557750                 ,11%
KNADH5A3XA6914882,Drive Now  ,3         ,18km                  ,12                         ,81�                  ,18.2.2018 ,3.45 ,11.33896423                ,48.7030279                 ,83%
KMHTC6AD5FU314801,Car2Go     ,4         ,82km                  ,24                         ,42�                  ,16.12.2018,7.13 ,11.20393574                ,48.25054930                ,83%
WBA3V7C57EP757178,Car2Go     ,3         ,10km                  ,1                          ,80�                  ,31.10.2019,13.51,11.67316285                ,48.1303668                 ,84%
3C6JD6EP0CG894655,Car2Go     ,4         ,17km                  ,27                         ,31�                  ,2.12.2019 ,6.39 ,11.16408868                ,48.461744                  ,8%
WP0CA2A88AU873421,Car2Go     ,4         ,82km                  ,2                          ,26�                  ,22.1.2018 ,10.26,11.81891988                ,48.26869174                ,36%
WBADN53422G222481,Car2Go     ,2         ,56km                  ,3                          ,83�                  ,18.9.2017 ,8.0  ,11.51351847                ,48.16982030                ,39%
JM3TB2BA9D0767903,Drive Now  ,4         ,60km                  ,24                         ,42�                  ,9.3.2018  ,18.14,11.25274310                ,48.4781149                 ,97%
KM8NU4CC4BU579489,Drive Now  ,3         ,61km                  ,30                         ,68�                  ,12.10.2019,20.39,11.50519409                ,48.3663430                 ,50%
1G6ET12941B754901,Car2Go     ,4         ,54km                  ,27                         ,68�                  ,29.2.2019 ,1.6  ,11.52232652                ,48.19777183                ,70%
SCFAD02E69G561441,Car2Go     ,4         ,3km                   ,9                          ,81�                  ,31.11.2019,2.18 ,11.69445128                ,48.17642881                ,9%
3C6TD5GT0CG492728,Drive Now  ,3         ,52km                  ,28                         ,67�                  ,11.8.2017 ,0.4  ,11.11806524                ,48.9459257                 ,85%
2HNYD18462H751603,Drive Now  ,3         ,88km                  ,16                         ,84�                  ,27.5.2019 ,8.27 ,11.46009816                ,48.21500220                ,30%
WAUSF78E37A964514,Car2Go     ,2         ,47km                  ,9                          ,40�                  ,25.5.2017 ,17.45,11.13526507                ,48.7324471                 ,14%
1FTSW3A54AE462159,Drive Now  ,3         ,52km                  ,13                         ,74�                  ,10.12.2019,16.8 ,11.61761134                ,48.23816498                ,23%
3C3CFFJH3FT682682,Drive Now  ,4         ,66km                  ,11                         ,76�                  ,14.11.2018,22.23,11.15154303                ,48.16557726                ,51%
1FTMF1CW4AK160116,Drive Now  ,2         ,7km                   ,9                          ,52�                  ,8.4.2017  ,1.5  ,11.3182710                 ,48.6319128                 ,44%
JTDKDTB37E1384110,Drive Now  ,3         ,32km                  ,7                          ,28�                  ,20.11.2017,15.30,11.8089749                 ,48.20620509                ,86%
2T1BU4EE1CC413922,Drive Now  ,3         ,1km                   ,20                         ,90�                  ,17.4.2017 ,16.36,11.30377195                ,48.3320079                 ,98%
1G6DN57U470368476,Drive Now  ,4         ,90km                  ,20                         ,36�                  ,11.2.2018 ,17.18,11.40818226                ,48.4484456                 ,51%
1N6AA0CC7AN944242,Car2Go     ,5         ,21km                  ,15                         ,49�                  ,15.7.2018 ,3.51 ,11.47398496                ,48.7880934                 ,77%
5FPYK1F21EB262766,Car2Go     ,3         ,78km                  ,15                         ,88�                  ,18.12.2018,16.17,11.5209497                 ,48.11253533                ,79%
VNKKTUD36FA527739,Car2Go     ,2         ,26km                  ,12                         ,51�                  ,18.4.2019 ,7.26 ,11.10319127                ,48.12731845                ,73%
WAUVC68E42A188340,Drive Now  ,5         ,48km                  ,13                         ,57�                  ,17.7.2019 ,9.22 ,11.19495319                ,48.3813185                 ,43%
5TDDCRFH7ES359294,Drive Now  ,3         ,42km                  ,29                         ,27�                  ,16.2.2018 ,3.16 ,11.79696341                ,48.4311877                 ,81%
KM8JT3AB4DU253894,Drive Now  ,4         ,18km                  ,19                         ,32�                  ,3.3.2018  ,13.21,11.58355138                ,48.9550076                 ,90%
1GYUKCEF1AR988729,Drive Now  ,4         ,67km                  ,18                         ,65�                  ,3.7.2017  ,1.42 ,11.65893163                ,48.9254116                 ,43%
19UUA56993A973055,Drive Now  ,4         ,53km                  ,17                         ,70�                  ,27.7.2017 ,14.24,11.53174222                ,48.14151077                ,17%
WAUPFAFM9AA784670,Drive Now  ,2         ,69km                  ,9                          ,39�                  ,5.4.2019  ,3.37 ,11.40938333                ,48.13802108                ,11%
WP0CA2A88ES518587,Car2Go     ,5         ,25km                  ,23                         ,91�                  ,26.10.2018,23.58,11.70599794                ,48.6906457                 ,2%
1GYS3JEF4DR471101,Car2Go     ,2         ,88km                  ,25                         ,57�                  ,21.11.2018,3.8  ,11.52953806                ,48.26660380                ,79%
3FAHP0CGXBR312116,Car2Go     ,3         ,34km                  ,5                          ,64�                  ,31.2.2017 ,0.3  ,11.61137215                ,48.21997396                ,36%
4T1BF1FK3EU554019,Drive Now  ,5         ,76km                  ,4                          ,25�                  ,1.6.2017  ,23.22,11.27097206                ,48.17957571                ,55%
5UXFE83598L719063,Car2Go     ,2         ,69km                  ,10                         ,69�                  ,8.6.2018  ,20.40,11.70159759                ,48.27697264                ,4%
3GYFK66NX5G585435,Car2Go     ,3         ,83km                  ,5                          ,89�                  ,6.9.2018  ,1.47 ,11.22854008                ,48.14676690                ,94%
JH4KB2F56AC840672,Drive Now  ,4         ,23km                  ,19                         ,59�                  ,12.4.2017 ,4.13 ,11.42576309                ,48.24949800                ,24%
1G6DN57U460762820,Drive Now  ,4         ,31km                  ,16                         ,85�                  ,24.1.2019 ,17.32,11.20750540                ,48.21724851                ,78%
WAUBFAFL0FA092189,Car2Go     ,2         ,60km                  ,26                         ,74�                  ,3.9.2017  ,12.2 ,11.28636698                ,48.11643024                ,74%
WAUUL68E35A465740,Drive Now  ,5         ,76km                  ,15                         ,74�                  ,23.7.2017 ,3.40 ,11.46199761                ,48.24024999                ,66%
3C4PDDBG5CT865851,Drive Now  ,2         ,14km                  ,21                         ,59�                  ,17.3.2019 ,20.27,11.70272029                ,48.12153605                ,91%
3VW4A7ATXDM307420,Car2Go     ,4         ,7km                   ,23                         ,72�                  ,10.2.2019 ,6.19 ,11.9284331                 ,48.8053105                 ,32%
1GYFK66807R644294,Car2Go     ,5         ,83km                  ,15                         ,82�                  ,21.6.2017 ,23.17,11.20925344                ,48.15414763                ,61%
WBAEN33413P713554,Car2Go     ,4         ,49km                  ,10                         ,93�                  ,22.6.2019 ,17.47,11.23598395                ,48.3778618                 ,43%
5TDBY5G10BS126355,Car2Go     ,5         ,64km                  ,26                         ,88�                  ,31.12.2019,14.56,11.55222740                ,48.27764488                ,19%
1N6AF0LX5EN130083,Drive Now  ,4         ,22km                  ,0                          ,90�                  ,30.1.2018 ,12.32,11.53279730                ,48.23210128                ,39%
WAUBGAFB4AN472562,Drive Now  ,2         ,49km                  ,5                          ,93�                  ,18.5.2018 ,21.41,11.20392375                ,48.16489279                ,35%
1VWAH7A35DC518170,Drive Now  ,2         ,10km                  ,21                         ,67�                  ,14.2.2017 ,16.32,11.25733426                ,48.2462363                 ,37%
JN1AY1AR8DM018098,Drive Now  ,2         ,51km                  ,8                          ,93�                  ,10.12.2018,22.26,11.38907529                ,48.17110215                ,89%
WAULT68E63A929306,Car2Go     ,2         ,49km                  ,13                         ,70�                  ,24.5.2019 ,0.26 ,11.32208413                ,48.11162434                ,43%
1FA6P8AM6F5235820,Car2Go     ,5         ,44km                  ,16                         ,39�                  ,15.2.2019 ,5.43 ,11.72192691                ,48.9314878                 ,69%
WAUWFAFH1BN402611,Car2Go     ,5         ,47km                  ,24                         ,92�                  ,10.7.2018 ,19.52,11.50818695                ,48.6226354                 ,44%
1G4PP5SK4C4922124,Car2Go     ,5         ,58km                  ,28                         ,69�                  ,18.7.2017 ,9.9  ,11.21650465                ,48.3893883                 ,72%
SCFEBBBC3AG266996,Drive Now  ,5         ,83km                  ,29                         ,49�                  ,22.10.2018,16.12,11.17419608                ,48.11974909                ,26%
WAUWFAFH3DN817495,Drive Now  ,5         ,1km                   ,17                         ,45�                  ,22.11.2017,17.26,11.50725536                ,48.13052919                ,97%
2G4G15GV3B9195350,Car2Go     ,5         ,69km                  ,9                          ,72�                  ,27.12.2019,6.15 ,11.18325409                ,48.17740727                ,5%
1G6YX36D485502733,Car2Go     ,5         ,52km                  ,30                         ,37�                  ,25.9.2018 ,23.16,11.72448604                ,48.3418071                 ,27%
KNAFU5A2XD5113181,Drive Now  ,3         ,82km                  ,0                          ,87�                  ,9.4.2017  ,8.40 ,11.46339131                ,48.27112146                ,1%
1N6AF0LX3EN298580,Drive Now  ,3         ,78km                  ,2                          ,29�                  ,31.2.2019 ,12.39,11.31994609                ,48.4709509                 ,9%
WBANA73534B160304,Car2Go     ,4         ,62km                  ,26                         ,53�                  ,29.3.2018 ,9.40 ,11.65670823                ,48.3928168                 ,26%
1G4GE5GD1BF458955,Car2Go     ,2         ,16km                  ,1                          ,57�                  ,13.1.2018 ,8.59 ,11.67576067                ,48.856177                  ,19%
KMHHT6KD2DU380353,Car2Go     ,2         ,3km                   ,11                         ,49�                  ,21.12.2017,9.29 ,11.67270328                ,48.24371438                ,5%
WAUMFAFH0FN614977,Car2Go     ,2         ,70km                  ,15                         ,96�                  ,25.9.2018 ,21.24,11.47479607                ,48.22359397                ,32%
WAUEF98E08A573668,Drive Now  ,4         ,58km                  ,29                         ,29�                  ,2.12.2019 ,8.55 ,11.31107635                ,48.8634734                 ,81%
5GAKVAED5BJ038608,Drive Now  ,2         ,29km                  ,10                         ,53�                  ,26.10.2018,16.40,11.31042865                ,48.15646403                ,33%
WBAWR33508P738423,Drive Now  ,3         ,3km                   ,25                         ,74�                  ,10.11.2017,21.39,11.23238542                ,48.19019702                ,97%
JN1AZ4EH2AM928258,Car2Go     ,2         ,22km                  ,6                          ,27�                  ,22.12.2018,18.56,11.81509240                ,48.24322171                ,86%
1G4HE57Y26U400779,Car2Go     ,2         ,80km                  ,10                         ,32�                  ,23.4.2018 ,21.56,11.64341228                ,48.7489356                 ,68%
WAUDF48HX7K744153,Car2Go     ,3         ,87km                  ,2                          ,73�                  ,8.3.2018  ,19.49,11.19653457                ,48.3123267                 ,37%
3VWKP7AJ2DM499145,Drive Now  ,3         ,52km                  ,19                         ,85�                  ,21.1.2017 ,16.35,11.8233290                 ,48.22667116                ,67%
1GYFK638X7R180984,Drive Now  ,2         ,15km                  ,15                         ,96�                  ,14.6.2017 ,14.58,11.27393443                ,48.20127175                ,17%
WAU4FBFL6AA170787,Drive Now  ,2         ,75km                  ,6                          ,98�                  ,13.6.2018 ,18.14,11.14577694                ,48.14053294                ,62%
SCFAD02A95G522446,Car2Go     ,5         ,79km                  ,16                         ,35�                  ,24.3.2017 ,19.32,11.36325330                ,48.16869817                ,11%
JTHKD5BH6E2782912,Car2Go     ,2         ,88km                  ,6                          ,45�                  ,9.10.2019 ,6.23 ,11.76330648                ,48.2847977                 ,30%
WAUNF78P68A359628,Drive Now  ,5         ,56km                  ,6                          ,25�                  ,13.4.2019 ,15.41,11.48613163                ,48.8643004                 ,43%
3D73M4HL5AG734403,Drive Now  ,4         ,59km                  ,8                          ,60�                  ,13.11.2017,16.33,11.81776866                ,48.16424944                ,19%
2HNYD2H66DH150668,Car2Go     ,3         ,6km                   ,6                          ,34�                  ,4.3.2018  ,19.54,11.31267346                ,48.2711876                 ,96%
2FMDK4AC1AB226682,Car2Go     ,5         ,64km                  ,10                         ,65�                  ,15.5.2018 ,9.13 ,11.40677818                ,48.22215235                ,84%
JN8AZ1MU1CW884646,Drive Now  ,3         ,80km                  ,8                          ,76�                  ,19.6.2019 ,10.12,11.46452207                ,48.27974454                ,65%
1GYS3CEF4BR341263,Car2Go     ,4         ,9km                   ,6                          ,47�                  ,28.4.2019 ,10.20,11.54740579                ,48.25651749                ,10%
WAUDK78T08A881580,Car2Go     ,2         ,23km                  ,10                         ,38�                  ,5.6.2019  ,14.45,11.21310746                ,48.27732045                ,18%
2T1BURHEXEC766218,Drive Now  ,3         ,26km                  ,0                          ,45�                  ,21.3.2018 ,9.18 ,11.31287628                ,48.9640636                 ,99%
5UXFG43578L025880,Car2Go     ,3         ,20km                  ,29                         ,29�                  ,9.2.2018  ,8.36 ,11.69802052                ,48.23508726                ,47%
YV1902AHXE1538823,Car2Go     ,2         ,36km                  ,23                         ,40�                  ,2.5.2019  ,7.44 ,11.42329336                ,48.22870339                ,78%
WAUBF98E98A085144,Drive Now  ,5         ,16km                  ,26                         ,92�                  ,7.9.2018  ,12.24,11.25519404                ,48.10613893                ,97%
1G4HP57M59U030598,Drive Now  ,2         ,19km                  ,30                         ,47�                  ,11.3.2017 ,2.31 ,11.43474567                ,48.18014241                ,4%
WBAKE3C51BE200536,Car2Go     ,5         ,66km                  ,5                          ,82�                  ,10.11.2017,4.10 ,11.71485291                ,48.22583727                ,77%
1FTEW1CW9AK861903,Car2Go     ,4         ,57km                  ,14                         ,32�                  ,8.6.2017  ,7.16 ,11.8391625                 ,48.12023328                ,61%
2G4GS5EK1C9597987,Car2Go     ,2         ,2km                   ,18                         ,61�                  ,25.9.2019 ,7.9  ,11.62973143                ,48.18983862                ,53%
1FTEW1CM7BF516829,Drive Now  ,2         ,35km                  ,27                         ,30�                  ,19.4.2017 ,2.33 ,11.33539618                ,48.2763827                 ,26%
WAUAFAFH1DN999143,Car2Go     ,5         ,39km                  ,11                         ,61�                  ,2.8.2019  ,16.11,11.26816965                ,48.25355358                ,5%
JTDKN3DU9B0191803,Car2Go     ,5         ,9km                   ,28                         ,33�                  ,13.10.2019,16.25,11.6939616                 ,48.8890816                 ,83%
5TFBW5F10DX953390,Drive Now  ,4         ,47km                  ,21                         ,42�                  ,29.7.2019 ,6.0  ,11.61073480                ,48.12325341                ,19%
WAUAF48H37K219776,Drive Now  ,4         ,7km                   ,21                         ,78�                  ,8.8.2017  ,20.17,11.77544139                ,48.13757275                ,91%
KMHHT6KD4BU075305,Car2Go     ,2         ,80km                  ,6                          ,69�                  ,11.5.2017 ,14.3 ,11.24428388                ,48.11102426                ,41%
3VW4A7ATXDM114264,Car2Go     ,2         ,30km                  ,21                         ,61�                  ,14.8.2019 ,10.23,11.11992653                ,48.13165449                ,29%
JM1BL1H44A1058928,Car2Go     ,5         ,1km                   ,7                          ,79�                  ,25.1.2019 ,2.5  ,11.59725077                ,48.19573884                ,29%
WAUVFAFH5BN245130,Drive Now  ,4         ,70km                  ,1                          ,79�                  ,12.11.2018,3.39 ,11.42578624                ,48.26873138                ,40%
WUARU98E67N661659,Drive Now  ,5         ,45km                  ,26                         ,90�                  ,17.5.2018 ,4.4  ,11.18686849                ,48.11240018                ,86%
WDDEJ7EB0BA053452,Car2Go     ,5         ,66km                  ,23                         ,76�                  ,5.5.2018  ,16.27,11.67462784                ,48.6894951                 ,4%
WAUVT54B13N713743,Car2Go     ,5         ,34km                  ,10                         ,63�                  ,11.11.2017,14.1 ,11.54816347                ,48.27886874                ,82%
5J8TB1H27CA286691,Car2Go     ,4         ,34km                  ,3                          ,74�                  ,24.8.2019 ,5.53 ,11.17149537                ,48.2652855                 ,16%
WA1YD64B64N691947,Drive Now  ,2         ,41km                  ,0                          ,25�                  ,26.2.2018 ,21.44,11.60379561                ,48.18894263                ,85%
NM0KS9BN2DT196914,Drive Now  ,3         ,39km                  ,6                          ,84�                  ,31.8.2018 ,23.57,11.26868622                ,48.18303854                ,66%
1G6KD57Y39U935978,Drive Now  ,4         ,85km                  ,13                         ,61�                  ,27.6.2019 ,4.42 ,11.17163724                ,48.18063452                ,58%
JTDKDTB3XD1719813,Car2Go     ,5         ,25km                  ,0                          ,39�                  ,2.11.2018 ,17.53,11.32012218                ,48.12067088                ,31%
WP0CA2A8XBS652951,Drive Now  ,2         ,38km                  ,5                          ,40�                  ,30.11.2019,3.15 ,11.23720916                ,48.16714410                ,5%
WBAAV53451F046985,Car2Go     ,5         ,46km                  ,24                         ,30�                  ,7.11.2017 ,18.35,11.16403432                ,48.24652204                ,41%
4JGDA2EB5CA921676,Car2Go     ,4         ,7km                   ,5                          ,63�                  ,22.1.2019 ,4.0  ,11.31778262                ,48.27247887                ,85%
JM1NC2EF6A0806254,Car2Go     ,2         ,16km                  ,5                          ,50�                  ,16.6.2018 ,22.25,11.66613986                ,48.16998945                ,35%
1FTSW3B55AE943519,Car2Go     ,5         ,43km                  ,7                          ,75�                  ,31.11.2017,0.42 ,11.77163786                ,48.6380628                 ,55%
3VWJP7AT4CM136356,Car2Go     ,4         ,77km                  ,14                         ,59�                  ,9.12.2017 ,5.53 ,11.62610112                ,48.26120322                ,85%
3VWML7AJXEM583221,Car2Go     ,4         ,19km                  ,1                          ,59�                  ,19.5.2017 ,7.9  ,11.33342844                ,48.6963391                 ,41%
1G6KD54Y54U181740,Car2Go     ,5         ,41km                  ,2                          ,61�                  ,19.9.2018 ,22.54,11.39541876                ,48.24586968                ,67%
JN1AZ4EH3FM177923,Drive Now  ,3         ,83km                  ,21                         ,87�                  ,15.11.2018,6.9  ,11.81920587                ,48.16770597                ,1%
WAUEL74F75N420785,Drive Now  ,3         ,23km                  ,25                         ,44�                  ,18.1.2019 ,11.56,11.68235309                ,48.24513555                ,100%
WDDGF4HB1ER450212,Drive Now  ,2         ,17km                  ,5                          ,45�                  ,17.1.2018 ,17.2 ,11.54733640                ,48.17335316                ,77%
1G6KE57Y22U323399,Drive Now  ,5         ,57km                  ,11                         ,28�                  ,20.1.2017 ,19.5 ,11.37976629                ,48.26493757                ,21%
JH4KB16537C015160,Drive Now  ,3         ,10km                  ,18                         ,83�                  ,28.1.2017 ,8.44 ,11.28124774                ,48.27052420                ,93%
ZFBCFADH3FZ211623,Drive Now  ,5         ,34km                  ,29                         ,94�                  ,14.7.2018 ,11.41,11.32359036                ,48.16103250                ,39%
WA1VMBFE8DD470360,Car2Go     ,4         ,13km                  ,28                         ,62�                  ,8.4.2017  ,12.37,11.65219728                ,48.14503380                ,1%
1GTG5AE31F1505038,Drive Now  ,3         ,28km                  ,14                         ,59�                  ,12.3.2019 ,3.14 ,11.9917037                 ,48.21488648                ,84%
WBAKE5C54BE176891,Drive Now  ,3         ,4km                   ,3                          ,98�                  ,1.6.2018  ,17.26,11.33888757                ,48.21700973                ,84%
WBAYB6C58FD268638,Car2Go     ,5         ,50km                  ,27                         ,60�                  ,20.11.2019,20.44,11.70072090                ,48.24359673                ,68%
1G6AB1RX2F0538005,Drive Now  ,2         ,31km                  ,2                          ,78�                  ,23.5.2019 ,16.17,11.54233852                ,48.5972044                 ,12%
1FTSX2A54AE744129,Car2Go     ,3         ,65km                  ,11                         ,61�                  ,18.2.2018 ,15.37,11.38862650                ,48.23114360                ,2%
WAUWGAFB3BN204041,Car2Go     ,4         ,12km                  ,15                         ,91�                  ,26.3.2019 ,4.36 ,11.52674230                ,48.10727337                ,80%
1GYS3UKJ0FR951357,Car2Go     ,3         ,55km                  ,27                         ,33�                  ,12.7.2019 ,1.4  ,11.66367264                ,48.22773094                ,71%
5TFCW5F16DX668004,Car2Go     ,3         ,35km                  ,5                          ,33�                  ,4.9.2018  ,0.3  ,11.17984729                ,48.13429339                ,52%
5FRYD4H86FB640800,Drive Now  ,2         ,32km                  ,20                         ,45�                  ,17.11.2018,19.56,11.28466719                ,48.10558276                ,92%
WA1DKAFP4BA293043,Car2Go     ,4         ,15km                  ,8                          ,55�                  ,7.4.2019  ,15.44,11.61162964                ,48.8103044                 ,42%
WBABW334X4P143801,Car2Go     ,5         ,86km                  ,7                          ,48�                  ,15.10.2018,10.39,11.22398055                ,48.18033240                ,68%
1N6AD0CU1BC162161,Car2Go     ,2         ,9km                   ,11                         ,84�                  ,28.12.2017,15.6 ,11.53174771                ,48.22548686                ,61%
WBAUN1C50BV693896,Car2Go     ,4         ,25km                  ,25                         ,31�                  ,24.7.2019 ,13.7 ,11.22043279                ,48.26138940                ,96%
WBABD53446P306785,Car2Go     ,5         ,80km                  ,12                         ,94�                  ,21.4.2019 ,17.22,11.23634591                ,48.14089467                ,30%
1G6DH5EG1A0965533,Drive Now  ,4         ,81km                  ,27                         ,29�                  ,18.10.2019,23.48,11.2968089                 ,48.23847184                ,73%
WBAPL3C59AA019380,Car2Go     ,2         ,50km                  ,16                         ,26�                  ,5.11.2017 ,3.2  ,11.71428836                ,48.20079506                ,39%
1FMEU5DE0AU043933,Drive Now  ,2         ,42km                  ,9                          ,29�                  ,10.4.2018 ,1.38 ,11.4571763                 ,48.9400541                 ,24%
SCFAB05D49G833395,Drive Now  ,3         ,52km                  ,25                         ,90�                  ,30.7.2018 ,14.29,11.57917004                ,48.16412536                ,77%
JHMFB4F20CS158303,Car2Go     ,2         ,18km                  ,8                          ,85�                  ,12.12.2017,5.6  ,11.47907627                ,48.18447834                ,58%
JHMGE8G22AS066463,Drive Now  ,3         ,26km                  ,10                         ,58�                  ,7.5.2017  ,6.54 ,11.6855679                 ,48.2460494                 ,32%
WAUSFBFLXAA365363,Car2Go     ,3         ,32km                  ,18                         ,27�                  ,30.10.2017,13.25,11.12175558                ,48.17864935                ,78%
JN1CV6EKXDM347378,Drive Now  ,4         ,20km                  ,4                          ,86�                  ,8.1.2019  ,19.9 ,11.65361095                ,48.16351740                ,77%
1GYFK438X8R269850,Car2Go     ,5         ,22km                  ,20                         ,51�                  ,27.8.2019 ,23.18,11.4056135                 ,48.8419534                 ,91%
WA1BY74L57D620595,Drive Now  ,4         ,17km                  ,8                          ,99�                  ,23.8.2019 ,15.58,11.24069307                ,48.1291503                 ,55%
KNDPB3ACXF7791821,Drive Now  ,3         ,31km                  ,0                          ,38�                  ,7.12.2019 ,20.27,11.8831785                 ,48.24661035                ,70%
WAUKH74F58N093327,Drive Now  ,5         ,68km                  ,29                         ,79�                  ,27.1.2019 ,19.1 ,11.21210173                ,48.23136178                ,59%
WAUJC68E15A288432,Car2Go     ,3         ,33km                  ,19                         ,47�                  ,28.5.2018 ,11.24,11.31799512                ,48.21500963                ,70%
JTHBE1BL2F1943502,Drive Now  ,5         ,56km                  ,17                         ,58�                  ,21.1.2017 ,5.15 ,11.39851174                ,48.12158560                ,34%
19UUA96299A176016,Drive Now  ,5         ,52km                  ,16                         ,61�                  ,28.6.2018 ,6.54 ,11.73741985                ,48.2785222                 ,4%
JTHBP5C21D5030727,Drive Now  ,3         ,27km                  ,24                         ,54�                  ,23.3.2019 ,21.4 ,11.66601634                ,48.15019134                ,71%
5NPDH4AE5CH766535,Drive Now  ,5         ,58km                  ,4                          ,82�                  ,15.9.2018 ,23.47,11.49987139                ,48.8638505                 ,93%
3GYFNFE32FS513960,Drive Now  ,5         ,21km                  ,7                          ,93�                  ,18.1.2018 ,4.59 ,11.8119457                 ,48.2375715                 ,24%
WVWED7AJXBW460390,Drive Now  ,4         ,9km                   ,16                         ,95�                  ,24.2.2018 ,10.16,11.49625613                ,48.20203051                ,62%
JHMGE8G23AS827338,Car2Go     ,5         ,19km                  ,27                         ,50�                  ,18.12.2017,18.16,11.66573067                ,48.6543055                 ,84%
1GYS4LKJ2FR793322,Car2Go     ,2         ,90km                  ,11                         ,71�                  ,27.9.2017 ,4.11 ,11.45621755                ,48.26413834                ,49%
3GYFNDEY5BS559860,Car2Go     ,3         ,71km                  ,24                         ,36�                  ,24.9.2019 ,19.14,11.66858397                ,48.21853474                ,65%
1FTEW1C84FK823116,Drive Now  ,2         ,7km                   ,30                         ,51�                  ,19.7.2018 ,9.13 ,11.54666736                ,48.16798921                ,37%
WP0CB2A8XFS472419,Car2Go     ,2         ,65km                  ,20                         ,86�                  ,8.1.2018  ,9.50 ,11.71705416                ,48.5918015                 ,33%
WBAKG7C51CE615830,Drive Now  ,5         ,76km                  ,27                         ,54�                  ,3.2.2018  ,17.1 ,11.61836694                ,48.15044865                ,16%
5GAKVAKD6EJ552704,Car2Go     ,5         ,38km                  ,15                         ,95�                  ,19.10.2018,16.28,11.52416459                ,48.25800297                ,38%
4JGDA2EB4EA006062,Car2Go     ,4         ,44km                  ,9                          ,63�                  ,2.5.2019  ,2.53 ,11.30611834                ,48.22230713                ,6%
JTDBT4K39CL557989,Car2Go     ,2         ,4km                   ,9                          ,66�                  ,22.5.2018 ,13.35,11.17464399                ,48.1982953                 ,45%
5N1CR2MNXEC313109,Drive Now  ,4         ,21km                  ,3                          ,68�                  ,13.3.2018 ,3.52 ,11.39726050                ,48.6696818                 ,9%
1G4PR5SK7E4703266,Car2Go     ,3         ,68km                  ,6                          ,42�                  ,7.5.2018  ,19.17,11.31753331                ,48.11767869                ,51%
JA32X8HW9EU888256,Drive Now  ,5         ,86km                  ,14                         ,57�                  ,23.10.2017,7.44 ,11.19694280                ,48.233194                  ,34%
1G4GF5G31CF701525,Car2Go     ,5         ,61km                  ,12                         ,96�                  ,16.10.2017,15.39,11.3608718                 ,48.22985309                ,89%
YV1902AH0E1526518,Drive Now  ,2         ,39km                  ,24                         ,51�                  ,19.6.2017 ,23.25,11.46774932                ,48.24932674                ,97%
WAUDF68E45A763026,Car2Go     ,3         ,59km                  ,24                         ,88�                  ,17.11.2017,6.46 ,11.7107993                 ,48.19642979                ,89%
5GTMNGEE6A8412130,Car2Go     ,3         ,9km                   ,5                          ,69�                  ,15.3.2017 ,5.34 ,11.61187539                ,48.24222822                ,96%
