CarVIN,TypeofCar,#ofseats,Avg.distanceofrides,Avg.#ofcustomersperday,Avg.Priceperminute,Date,Time,Locationlonitude(current),Locationlatitude(current),TankFilling(current)
1N6AF0LX1FN004482,Car2Go,3,69km,17,76€,5.4.2018,19.51,11.24013997,48.5873748,54%
TRUWT28N441095990,Car2Go,2,86km,26,31€,4.4.2017,8.58,11.32560362,48.2548191,39%
WBA3B9C55DF540849,DriveNow,5,8km,13,76€,13.7.2017,4.35,11.8522069,48.15833991,16%
KMHFH4JG0FA834922,Car2Go,3,44km,14,50€,29.10.2018,19.13,11.5027664,48.18109467,22%
3N1AB6AP6BL992523,Car2Go,4,27km,2,87€,13.5.2018,17.10,11.19352844,48.18321322,68%
KNADH5A3XA6914882,Car2Go,2,80km,4,55€,20.9.2019,0.48,11.69081393,48.22380600,81%
KMHTC6AD5FU314801,Car2Go,4,10km,13,65€,20.11.2019,10.24,11.6339095,48.3241189,71%
WBA3V7C57EP757178,Car2Go,4,79km,10,58€,22.5.2018,12.18,11.80219755,48.7516957,0%
3C6JD6EP0CG894655,DriveNow,3,17km,21,73€,7.12.2019,12.42,11.73274422,48.16207018,23%
WP0CA2A88AU873421,DriveNow,5,25km,21,99€,16.12.2018,5.48,11.77932950,48.648131,25%
WBADN53422G222481,DriveNow,3,10km,15,56€,16.7.2018,15.41,11.14285290,48.13409501,29%
JM3TB2BA9D0767903,Car2Go,5,74km,6,67€,14.10.2017,4.52,11.57799603,48.17763565,56%
KM8NU4CC4BU579489,Car2Go,3,87km,20,98€,15.12.2018,21.48,11.25498225,48.8345904,81%
1G6ET12941B754901,Car2Go,2,38km,27,94€,9.2.2017,23.1,11.33532051,48.7496546,23%
SCFAD02E69G561441,Car2Go,5,38km,20,25€,1.3.2017,0.57,11.25918209,48.13100371,91%
3C6TD5GT0CG492728,DriveNow,2,42km,5,26€,4.3.2017,15.29,11.18595441,48.27361681,86%
2HNYD18462H751603,DriveNow,2,28km,22,28€,22.10.2019,13.16,11.68355763,48.7726692,49%
WAUSF78E37A964514,DriveNow,3,71km,30,44€,25.5.2019,11.47,11.35124318,48.28055969,38%
1FTSW3A54AE462159,DriveNow,2,76km,9,90€,22.4.2017,13.26,11.17291895,48.2212824,11%
3C3CFFJH3FT682682,Car2Go,4,7km,4,30€,17.11.2018,13.5,11.68034163,48.10860703,25%
1FTMF1CW4AK160116,DriveNow,4,36km,20,42€,23.8.2019,21.1,11.7714899,48.5067752,16%
JTDKDTB37E1384110,Car2Go,4,47km,11,55€,10.1.2018,5.25,11.45474604,48.16147050,1%
2T1BU4EE1CC413922,DriveNow,3,41km,4,27€,15.11.2018,14.7,11.7757472,48.25910546,71%
1G6DN57U470368476,DriveNow,4,36km,29,92€,4.4.2017,13.0,11.61611790,48.22810972,73%
1N6AA0CC7AN944242,Car2Go,4,46km,22,96€,27.7.2017,14.23,11.47296083,48.7092797,38%
5FPYK1F21EB262766,DriveNow,4,3km,21,47€,30.8.2019,10.30,11.19389803,48.22229801,34%
VNKKTUD36FA527739,DriveNow,5,75km,6,96€,17.12.2017,19.50,11.26410178,48.11276905,36%
WAUVC68E42A188340,DriveNow,4,67km,23,62€,24.8.2017,3.6,11.79210003,48.2163987,29%
5TDDCRFH7ES359294,DriveNow,5,35km,29,98€,13.12.2017,12.41,11.68030609,48.11816623,25%
KM8JT3AB4DU253894,Car2Go,4,72km,29,49€,14.2.2018,13.50,11.45660862,48.26417984,27%
1GYUKCEF1AR988729,Car2Go,5,82km,21,40€,13.10.2017,21.54,11.32136867,48.6312701,26%
19UUA56993A973055,DriveNow,4,13km,16,92€,11.9.2018,18.19,11.63237999,48.24236624,22%
WAUPFAFM9AA784670,Car2Go,2,38km,13,67€,9.11.2017,23.4,11.67449714,48.20003610,58%
WP0CA2A88ES518587,Car2Go,4,28km,9,68€,23.12.2018,21.2,11.70988805,48.4844590,86%
1GYS3JEF4DR471101,DriveNow,4,19km,6,36€,12.4.2018,7.27,11.4685919,48.23621070,89%
3FAHP0CGXBR312116,Car2Go,4,6km,3,60€,1.1.2017,9.58,11.48679571,48.16866000,19%
4T1BF1FK3EU554019,Car2Go,2,52km,5,60€,6.2.2019,8.36,11.58501965,48.9873798,96%
5UXFE83598L719063,Car2Go,3,30km,11,58€,11.11.2019,1.31,11.47422797,48.25110226,78%
3GYFK66NX5G585435,Car2Go,3,56km,4,89€,16.2.2018,21.44,11.63555382,48.22450027,7%
JH4KB2F56AC840672,DriveNow,2,28km,29,83€,5.12.2018,14.13,11.77980669,48.17186062,34%
1G6DN57U460762820,DriveNow,2,61km,2,39€,29.3.2018,8.47,11.37384200,48.20056859,85%
WAUBFAFL0FA092189,Car2Go,2,82km,1,80€,17.4.2018,4.24,11.35019162,48.15268123,89%
WAUUL68E35A465740,DriveNow,4,27km,28,90€,26.9.2018,20.10,11.47857879,48.1536353,47%
3C4PDDBG5CT865851,DriveNow,2,30km,29,90€,15.7.2019,8.30,11.65300352,48.11486160,91%
3VW4A7ATXDM307420,Car2Go,5,13km,10,78€,6.5.2017,11.7,11.3355470,48.20676382,85%
1GYFK66807R644294,Car2Go,3,82km,5,40€,24.9.2018,6.20,11.7741924,48.12586515,18%
WBAEN33413P713554,DriveNow,2,62km,23,99€,10.12.2018,2.2,11.58560916,48.9816269,73%
5TDBY5G10BS126355,DriveNow,5,10km,26,50€,11.4.2018,1.51,11.39806605,48.133417,26%
1N6AF0LX5EN130083,Car2Go,4,38km,16,94€,29.12.2017,3.17,11.43233253,48.1487277,12%
WAUBGAFB4AN472562,Car2Go,2,68km,19,52€,20.2.2018,20.58,11.61391843,48.21626077,7%
1VWAH7A35DC518170,Car2Go,3,79km,30,96€,8.8.2018,14.12,11.16917690,48.370558,69%
JN1AY1AR8DM018098,DriveNow,3,90km,17,91€,9.2.2018,23.58,11.34820880,48.2444338,73%
WAULT68E63A929306,Car2Go,4,87km,24,70€,14.6.2019,14.7,11.26539805,48.9689038,73%
1FA6P8AM6F5235820,DriveNow,4,29km,15,60€,6.3.2017,15.17,11.68778392,48.10499095,80%
WAUWFAFH1BN402611,Car2Go,3,4km,11,50€,10.12.2018,12.35,11.12396039,48.26259110,70%
1G4PP5SK4C4922124,DriveNow,3,85km,1,67€,30.6.2018,13.45,11.72720554,48.11912302,54%
SCFEBBBC3AG266996,Car2Go,3,86km,17,33€,15.1.2018,6.30,11.28832392,48.25510494,66%
WAUWFAFH3DN817495,Car2Go,5,44km,6,28€,13.6.2018,21.38,11.45583189,48.20845365,36%
2G4G15GV3B9195350,DriveNow,5,63km,5,93€,24.9.2018,11.7,11.34938786,48.25016690,82%
1G6YX36D485502733,Car2Go,2,66km,19,98€,13.9.2017,5.15,11.33911898,48.1088265,24%
KNAFU5A2XD5113181,DriveNow,2,77km,1,71€,4.6.2019,2.34,11.19874147,48.677164,14%
1N6AF0LX3EN298580,Car2Go,4,77km,10,43€,23.7.2017,10.22,11.11457192,48.16627111,91%
WBANA73534B160304,Car2Go,4,19km,29,68€,20.11.2019,3.43,11.18337952,48.21589338,15%
1G4GE5GD1BF458955,DriveNow,3,63km,24,94€,17.5.2017,4.46,11.12429769,48.21283115,35%
KMHHT6KD2DU380353,Car2Go,3,28km,5,49€,30.3.2019,4.52,11.51063714,48.17119366,100%
WAUMFAFH0FN614977,Car2Go,2,80km,27,37€,19.11.2018,2.50,11.11062693,48.20781785,94%
WAUEF98E08A573668,DriveNow,4,33km,13,72€,7.1.2017,8.59,11.40964001,48.11961346,48%
5GAKVAED5BJ038608,Car2Go,3,40km,0,80€,2.1.2018,2.49,11.16546881,48.19664959,64%
WBAWR33508P738423,DriveNow,3,39km,23,39€,12.9.2017,16.38,11.77553802,48.12853176,33%
JN1AZ4EH2AM928258,DriveNow,3,59km,18,98€,30.7.2019,15.34,11.18124541,48.27809688,47%
1G4HE57Y26U400779,Car2Go,4,17km,12,38€,27.4.2018,14.30,11.80866629,48.20883890,11%
WAUDF48HX7K744153,DriveNow,5,71km,4,54€,21.12.2017,11.40,11.74569144,48.5091773,55%
3VWKP7AJ2DM499145,Car2Go,3,52km,6,30€,26.11.2019,10.43,11.44591232,48.23434946,56%
1GYFK638X7R180984,DriveNow,3,82km,24,89€,17.1.2018,0.12,11.54039750,48.21358175,79%
WAU4FBFL6AA170787,Car2Go,5,70km,14,95€,20.3.2018,6.52,11.46314172,48.26461226,67%
SCFAD02A95G522446,DriveNow,5,20km,27,68€,23.5.2018,10.42,11.21124563,48.27581660,37%
JTHKD5BH6E2782912,Car2Go,2,73km,24,89€,22.4.2017,9.40,11.78705470,48.14061608,25%
WAUNF78P68A359628,DriveNow,5,17km,3,45€,23.12.2018,9.8,11.15237073,48.13482102,83%
3D73M4HL5AG734403,Car2Go,4,59km,5,56€,4.10.2018,22.17,11.75051763,48.7562613,19%
2HNYD2H66DH150668,Car2Go,2,83km,17,36€,23.11.2018,4.51,11.81557627,48.15833827,47%
2FMDK4AC1AB226682,DriveNow,4,45km,13,69€,17.1.2019,5.31,11.33510159,48.15841771,48%
JN8AZ1MU1CW884646,Car2Go,2,59km,29,61€,25.3.2018,17.29,11.40557402,48.27169136,38%
1GYS3CEF4BR341263,Car2Go,3,44km,23,50€,8.9.2019,8.18,11.79791613,48.5333725,62%
WAUDK78T08A881580,Car2Go,5,71km,16,58€,22.2.2019,8.19,11.31282206,48.14178768,37%
2T1BURHEXEC766218,DriveNow,3,32km,19,32€,19.9.2018,6.48,11.69661954,48.18691360,96%
5UXFG43578L025880,DriveNow,5,14km,29,41€,28.4.2019,8.34,11.32949034,48.16392571,37%
YV1902AHXE1538823,Car2Go,5,36km,14,46€,19.8.2019,20.53,11.13033831,48.17984026,68%
WAUBF98E98A085144,Car2Go,4,47km,9,68€,27.8.2019,6.39,11.7014105,48.24021215,68%
1G4HP57M59U030598,Car2Go,3,7km,10,90€,3.6.2019,12.29,11.51797947,48.21282706,69%
WBAKE3C51BE200536,DriveNow,5,43km,16,59€,18.5.2017,1.32,11.17627038,48.22497458,18%
1FTEW1CW9AK861903,DriveNow,2,88km,14,33€,19.4.2019,7.29,11.68969593,48.6718392,37%
2G4GS5EK1C9597987,Car2Go,3,74km,10,87€,24.12.2019,8.35,11.41188196,48.5667051,23%
1FTEW1CM7BF516829,Car2Go,4,68km,29,80€,30.4.2017,8.2,11.7071272,48.11417683,22%
WAUAFAFH1DN999143,Car2Go,4,19km,9,31€,4.7.2017,20.6,11.21939821,48.24129201,11%
JTDKN3DU9B0191803,Car2Go,5,50km,24,85€,21.7.2018,21.47,11.67284710,48.12717392,12%
5TFBW5F10DX953390,DriveNow,2,49km,11,72€,26.2.2019,6.2,11.65070616,48.25254867,26%
WAUAF48H37K219776,Car2Go,2,40km,23,26€,13.6.2019,11.40,11.31906174,48.27308135,96%
KMHHT6KD4BU075305,Car2Go,5,51km,24,35€,3.11.2018,15.17,11.53210957,48.9355598,19%
3VW4A7ATXDM114264,Car2Go,2,76km,21,57€,29.8.2018,8.37,11.51898843,48.17091083,48%
JM1BL1H44A1058928,Car2Go,3,16km,5,72€,11.1.2017,12.57,11.68997999,48.12614906,76%
WAUVFAFH5BN245130,DriveNow,3,52km,5,77€,14.8.2019,3.26,11.77151861,48.5151482,32%
WUARU98E67N661659,Car2Go,4,49km,16,76€,28.4.2018,22.14,11.64643479,48.1724133,12%
WDDEJ7EB0BA053452,Car2Go,2,14km,16,49€,8.2.2017,8.48,11.61916253,48.1400994,72%
WAUVT54B13N713743,Car2Go,3,71km,18,49€,17.12.2018,16.10,11.73773477,48.9556198,92%
5J8TB1H27CA286691,DriveNow,2,23km,3,84€,14.11.2018,8.42,11.7158158,48.9551209,68%
WA1YD64B64N691947,DriveNow,4,90km,3,59€,2.8.2019,16.19,11.31215474,48.4047130,8%
NM0KS9BN2DT196914,Car2Go,2,24km,10,87€,10.11.2017,17.32,11.78747515,48.9691396,87%
1G6KD57Y39U935978,DriveNow,3,23km,3,54€,5.2.2019,22.7,11.62987165,48.19758774,90%
JTDKDTB3XD1719813,DriveNow,2,80km,29,67€,17.9.2017,10.27,11.18600023,48.28034241,31%
WP0CA2A8XBS652951,DriveNow,5,88km,28,94€,28.12.2017,0.58,11.24436218,48.22465673,27%
WBAAV53451F046985,DriveNow,5,33km,11,29€,6.10.2019,17.16,11.28495875,48.292441,27%
4JGDA2EB5CA921676,DriveNow,2,59km,0,48€,16.11.2018,22.17,11.43972912,48.11898238,10%
JM1NC2EF6A0806254,DriveNow,5,66km,12,51€,13.9.2018,9.33,11.60375656,48.6931946,20%
1FTSW3B55AE943519,DriveNow,5,23km,19,46€,16.12.2017,4.27,11.74060633,48.11842927,93%
3VWJP7AT4CM136356,Car2Go,2,5km,19,63€,28.7.2019,1.25,11.45070406,48.25920706,72%
3VWML7AJXEM583221,DriveNow,2,41km,7,80€,16.12.2018,9.59,11.28311236,48.10711092,41%
1G6KD54Y54U181740,DriveNow,2,26km,27,90€,29.12.2018,3.39,11.29254567,48.16038312,51%
JN1AZ4EH3FM177923,Car2Go,5,34km,11,97€,9.8.2019,23.3,11.66130173,48.25796042,67%
WAUEL74F75N420785,Car2Go,5,4km,19,65€,23.11.2019,5.26,11.6348927,48.12758844,99%
WDDGF4HB1ER450212,DriveNow,4,54km,18,37€,2.4.2017,22.48,11.41694370,48.4457381,48%
1G6KE57Y22U323399,DriveNow,5,82km,0,64€,24.1.2017,6.36,11.41496871,48.11471219,65%
JH4KB16537C015160,DriveNow,4,7km,2,27€,12.4.2017,15.45,11.7805681,48.7880695,66%
ZFBCFADH3FZ211623,DriveNow,4,36km,2,81€,15.7.2019,16.4,11.77979443,48.24631069,88%
WA1VMBFE8DD470360,Car2Go,2,79km,29,57€,7.2.2019,23.34,11.72949064,48.735006,57%
1GTG5AE31F1505038,Car2Go,3,90km,16,34€,5.2.2019,2.17,11.28634978,48.11716598,85%
WBAKE5C54BE176891,DriveNow,5,55km,21,62€,19.1.2018,22.22,11.48172429,48.17251458,99%
WBAYB6C58FD268638,Car2Go,5,41km,8,85€,4.7.2019,2.58,11.53412799,48.5053941,6%
1G6AB1RX2F0538005,Car2Go,4,49km,18,49€,8.6.2017,4.44,11.14834697,48.19928122,22%
1FTSX2A54AE744129,Car2Go,4,33km,23,84€,21.2.2018,3.39,11.28695619,48.20029611,28%
WAUWGAFB3BN204041,Car2Go,5,19km,8,68€,25.10.2019,9.52,11.41516667,48.11503006,7%
1GYS3UKJ0FR951357,DriveNow,3,28km,20,96€,26.2.2017,14.38,11.15379523,48.8852731,18%
5TFCW5F16DX668004,Car2Go,5,70km,11,28€,19.11.2018,2.35,11.63552494,48.6680842,42%
5FRYD4H86FB640800,Car2Go,3,65km,16,78€,10.10.2018,19.15,11.72813990,48.25004295,43%
WA1DKAFP4BA293043,DriveNow,5,2km,11,43€,13.7.2017,6.22,11.41441194,48.10963548,87%
WBABW334X4P143801,Car2Go,4,9km,16,83€,27.8.2018,17.55,11.26061761,48.14966445,13%
1N6AD0CU1BC162161,Car2Go,5,9km,16,34€,6.9.2019,14.26,11.3146323,48.11309689,1%
WBAUN1C50BV693896,Car2Go,5,25km,4,88€,1.8.2018,14.36,11.29188481,48.26083063,11%
WBABD53446P306785,DriveNow,5,1km,3,60€,28.8.2019,8.24,11.63282007,48.17632232,10%
1G6DH5EG1A0965533,Car2Go,3,58km,18,75€,26.3.2017,17.52,11.43341581,48.6584363,18%
WBAPL3C59AA019380,DriveNow,4,5km,19,64€,11.4.2018,20.54,11.52339997,48.25696079,77%
1FMEU5DE0AU043933,DriveNow,4,22km,9,66€,12.12.2018,18.9,11.45354075,48.16588127,43%
SCFAB05D49G833395,Car2Go,4,30km,6,97€,8.8.2018,4.5,11.48248737,48.939782,16%
JHMFB4F20CS158303,Car2Go,2,67km,15,63€,23.7.2018,11.2,11.18926083,48.2832220,88%
JHMGE8G22AS066463,Car2Go,2,77km,30,64€,11.1.2018,8.41,11.56509717,48.22284068,33%
WAUSFBFLXAA365363,Car2Go,4,22km,29,25€,4.4.2018,16.3,11.71569764,48.17911354,79%
JN1CV6EKXDM347378,DriveNow,4,5km,14,54€,5.8.2018,11.39,11.65139119,48.5196236,25%
1GYFK438X8R269850,DriveNow,3,86km,28,35€,2.11.2018,10.13,11.31776733,48.11797376,81%
WA1BY74L57D620595,DriveNow,3,83km,11,50€,7.8.2018,6.3,11.67501168,48.17492911,11%
KNDPB3ACXF7791821,Car2Go,5,27km,10,60€,22.4.2017,21.16,11.26343667,48.19660455,77%
WAUKH74F58N093327,DriveNow,4,21km,20,97€,7.12.2017,13.36,11.51491568,48.18476434,72%
WAUJC68E15A288432,Car2Go,2,1km,5,80€,17.9.2018,7.13,11.57651410,48.10207264,12%
JTHBE1BL2F1943502,Car2Go,3,64km,29,59€,20.5.2017,14.45,11.11985142,48.24753226,70%
19UUA96299A176016,DriveNow,3,27km,28,59€,8.1.2018,17.2,11.17473462,48.27010223,95%
JTHBP5C21D5030727,Car2Go,5,46km,11,90€,27.7.2017,1.19,11.65583300,48.10760976,46%
5NPDH4AE5CH766535,DriveNow,4,82km,9,50€,22.6.2019,2.16,11.12237784,48.18310197,26%
3GYFNFE32FS513960,Car2Go,4,67km,2,49€,23.2.2019,10.47,11.39442817,48.18894123,55%
WVWED7AJXBW460390,DriveNow,2,63km,6,85€,9.4.2019,18.59,11.61185770,48.3327971,3%
JHMGE8G23AS827338,DriveNow,3,71km,16,59€,26.2.2019,1.59,11.76367884,48.15776472,99%
1GYS4LKJ2FR793322,DriveNow,3,66km,8,30€,24.10.2017,22.36,11.48129120,48.10140643,7%
3GYFNDEY5BS559860,DriveNow,4,59km,25,67€,4.4.2019,18.6,11.52824488,48.18600224,91%
1FTEW1C84FK823116,Car2Go,5,8km,17,39€,21.1.2017,21.3,11.79313706,48.26638650,23%
WP0CB2A8XFS472419,DriveNow,4,83km,29,27€,22.2.2019,11.1,11.69029741,48.18588555,53%
WBAKG7C51CE615830,Car2Go,5,52km,17,99€,30.7.2018,20.29,11.78984892,48.27017413,6%
5GAKVAKD6EJ552704,Car2Go,2,38km,7,68€,26.10.2019,16.49,11.30958632,48.20062560,65%
4JGDA2EB4EA006062,Car2Go,5,55km,15,71€,5.6.2018,3.4,11.59938908,48.10350123,45%
JTDBT4K39CL557989,Car2Go,2,24km,3,39€,15.6.2018,11.55,11.3230428,48.26072649,78%
5N1CR2MNXEC313109,DriveNow,5,37km,20,47€,15.3.2019,0.3,11.3794768,48.26359629,66%
1G4PR5SK7E4703266,Car2Go,5,86km,17,43€,26.5.2017,6.52,11.63029900,48.12995746,55%
JA32X8HW9EU888256,DriveNow,3,32km,4,68€,22.4.2019,10.33,11.81473402,48.8895291,88%
1G4GF5G31CF701525,Car2Go,2,15km,11,66€,7.5.2019,14.1,11.72608069,48.14452422,45%
YV1902AH0E1526518,DriveNow,5,3km,10,65€,10.2.2018,4.19,11.2980576,48.1140042,46%
WAUDF68E45A763026,Car2Go,5,19km,10,59€,6.8.2018,5.51,11.29064074,48.633958,14%
5GTMNGEE6A8412130,DriveNow,5,2km,14,95€,10.7.2018,8.11,11.3525980,48.16367836,28%
WVWAA7AHXBV178552,Car2Go,5,3km,30,80€,16.7.2017,22.23,11.43820647,48.25037755,55%
WVGAV3AX4DW104119,DriveNow,4,81km,9,95€,3.8.2017,21.44,11.56158412,48.13121934,10%
19UUA76508A144455,DriveNow,5,2km,7,89€,28.6.2018,17.29,11.33702891,48.22602625,88%
1G6DS8E31C0038745,DriveNow,3,72km,15,68€,5.3.2019,11.32,11.6734634,48.16895266,30%
1FM5K7B82EG971603,Car2Go,3,44km,26,59€,6.5.2017,8.21,11.64624966,48.5099187,86%
SCBLE37G76C846221,DriveNow,3,80km,10,72€,12.12.2019,22.30,11.17556293,48.14081841,70%
1FMJU1H50AE654685,Car2Go,2,41km,11,51€,13.10.2017,16.10,11.58441812,48.14295141,14%
JN1CV6AP1AM166487,Car2Go,3,43km,3,65€,28.6.2018,5.45,11.21151042,48.25237027,36%
2G4WC562751567613,DriveNow,3,38km,17,86€,12.10.2018,21.25,11.42082196,48.27349276,54%
1GYS3BEF7BR191269,DriveNow,4,35km,9,27€,2.1.2019,10.43,11.61960192,48.8066089,15%
2C4RDGEG4CR911324,DriveNow,2,10km,18,41€,13.10.2017,9.33,11.16737971,48.1925211,79%
WBA3T1C52EP778216,Car2Go,4,61km,15,37€,23.2.2017,0.40,11.9017984,48.5717553,6%
ZHWGU5BZ3CL242786,Car2Go,5,14km,7,61€,26.8.2018,5.5,11.69707698,48.20554999,63%
SALAB2D47DA620134,DriveNow,3,6km,11,80€,22.3.2017,20.54,11.71862151,48.5580075,24%
JN1AZ4EH4CM781539,DriveNow,3,80km,27,93€,19.9.2018,8.38,11.80461294,48.6465368,72%
3GYFNAE3XFS990915,DriveNow,4,31km,23,55€,7.9.2017,16.7,11.63105056,48.18989509,2%
5N1CR2MN2EC702942,DriveNow,4,34km,18,41€,13.7.2019,5.11,11.55400706,48.2055130,60%
WAUWFAFHXDN983500,Car2Go,4,67km,5,32€,15.4.2017,19.51,11.48623875,48.12339496,94%
WAUDH68D71A505062,Car2Go,2,53km,8,60€,12.7.2017,10.19,11.17602711,48.22019020,2%
1B3CB4HAXAD701247,DriveNow,4,31km,18,80€,15.7.2019,1.46,11.45652913,48.17249684,97%
KNDPB3A25C7345224,DriveNow,3,73km,16,35€,7.2.2017,4.57,11.69492873,48.18434241,16%
KNAFZ6A30F5476964,DriveNow,3,50km,15,47€,23.2.2018,13.9,11.81308784,48.11120736,28%
4T1BD1EB3EU010059,Car2Go,5,4km,19,53€,11.3.2017,11.34,11.78673451,48.27842810,98%
5UXZV4C51CL893448,DriveNow,3,85km,13,63€,29.5.2019,8.22,11.27452544,48.12797915,32%
1N6AA0CC7CN594145,DriveNow,4,76km,4,64€,8.4.2018,0.40,11.9006690,48.10756519,22%
WVWAB7AJ2DW728985,Car2Go,4,80km,22,48€,29.4.2019,11.14,11.39438185,48.8316290,58%
WBAWB3C57AP277179,Car2Go,5,74km,23,60€,23.11.2018,21.12,11.52492324,48.16304062,36%
WBA3A5C52FP509986,DriveNow,4,30km,4,81€,20.8.2017,8.23,11.28627359,48.4912594,6%
1GYS4DEF3DR001253,DriveNow,3,67km,9,34€,23.12.2019,13.56,11.49721792,48.22217906,69%
3VWKX7AJ4DM647232,DriveNow,4,26km,30,34€,14.4.2019,20.54,11.73948574,48.2899371,93%
WBABN33422J366546,Car2Go,4,49km,15,38€,12.4.2017,14.39,11.73681770,48.23902967,52%
1N6AD0CW6EN721407,Car2Go,5,2km,17,48€,20.10.2018,7.54,11.50278974,48.3521394,20%
WAURFAFR9DA939131,Car2Go,2,80km,2,99€,22.11.2019,19.17,11.46908206,48.24652821,79%
1G4HA5EM7AU994080,Car2Go,3,46km,15,80€,18.3.2019,17.12,11.73652283,48.24350572,82%
5N1AN0NU2CN099991,Car2Go,2,38km,19,76€,9.8.2019,6.26,11.76802623,48.17490915,23%
4USBU33568L684840,DriveNow,3,4km,7,30€,8.4.2017,17.39,11.15126285,48.18957360,99%
1N4AB7AP1DN822307,DriveNow,2,75km,22,85€,20.11.2018,23.11,11.38111439,48.5947161,13%
3GYT4NEF6CG777790,Car2Go,5,58km,4,73€,27.6.2017,19.8,11.46554293,48.18614856,82%
JN8AZ1MU4EW168827,DriveNow,3,67km,21,42€,17.12.2017,12.39,11.52939863,48.20622730,23%
3D7TT2CT9AG016285,DriveNow,3,46km,19,93€,22.2.2018,7.11,11.53226683,48.6123852,4%
2T3BF4DV0AW291469,DriveNow,5,21km,0,71€,5.1.2018,5.20,11.71167063,48.21655374,69%
WAUDF48H48K291097,Car2Go,2,51km,27,36€,19.11.2019,4.58,11.78369470,48.24162178,73%
1G6DL8E33D0486323,Car2Go,3,68km,28,70€,16.12.2019,0.15,11.52454254,48.4260280,89%
1C4AJWAG7FL384625,Car2Go,5,21km,29,88€,7.5.2018,21.51,11.80019226,48.18903904,75%
WBXPA93476W510594,DriveNow,2,33km,13,90€,14.11.2019,5.40,11.68836755,48.18133748,0%
1GYFK43539R200246,DriveNow,5,11km,29,98€,1.4.2018,7.5,11.57698547,48.17992917,63%
1C4NJCBA2ED379318,DriveNow,4,14km,23,44€,28.5.2019,5.27,11.45659704,48.905055,15%
2B3CJ5DT6AH342398,DriveNow,2,40km,24,57€,18.8.2017,2.19,11.38515713,48.21443156,75%
JN8AF5MR9BT248522,DriveNow,2,62km,30,55€,30.11.2019,12.34,11.66397008,48.23443887,48%
SCBCR7ZA3AC477760,DriveNow,3,72km,15,26€,17.4.2019,4.25,11.58349417,48.9667313,29%
KMHDB8AE2BU670869,DriveNow,3,52km,18,69€,16.9.2018,2.57,11.81019182,48.18101365,62%
WAUNF68P96A684927,Car2Go,3,81km,1,74€,14.8.2017,11.9,11.34573749,48.17129187,15%
WAUEFBFL3EN287097,Car2Go,2,78km,20,60€,26.5.2018,21.36,11.28176724,48.4309005,35%
WBA3B9C55EF978434,Car2Go,2,35km,10,44€,15.2.2018,23.43,11.51780787,48.27263489,7%
WAUEV74F88N312125,Car2Go,5,2km,7,75€,8.12.2018,5.12,11.26481526,48.12293758,36%
1GKUKFDJ1AR956610,DriveNow,4,40km,26,89€,24.12.2017,15.0,11.4639144,48.9401646,79%
KMHCM3AC0BU422868,Car2Go,5,63km,29,47€,20.10.2018,18.38,11.54093203,48.27262223,15%
1FTWW3CY6AE709500,DriveNow,5,28km,10,54€,17.8.2018,7.51,11.6101918,48.2301156,46%
KNDPB3A22C7979137,DriveNow,3,27km,15,77€,26.2.2019,0.54,11.30195488,48.26687933,31%
1G6DC8EG9A0882805,Car2Go,2,17km,18,91€,15.2.2018,0.35,11.57310567,48.19952121,82%
WBSBR93456P031366,DriveNow,2,56km,13,79€,4.8.2019,13.41,11.48303897,48.1740867,50%
WBABD53464P477504,DriveNow,2,76km,24,68€,19.9.2017,1.48,11.22830586,48.18611193,95%
1G6KD57969U020860,DriveNow,5,7km,22,64€,11.3.2019,19.16,11.50481310,48.13796364,84%
WVWAP7AN0EE379272,Car2Go,2,5km,28,25€,4.12.2017,22.34,11.20295635,48.13274456,73%
WAUAH74F06N368658,Car2Go,4,22km,7,85€,20.11.2017,6.23,11.65057316,48.16774387,92%
WAUEH94F38N183407,Car2Go,5,74km,26,25€,28.11.2017,21.59,11.39441769,48.27808465,3%
1G6AJ5SX3F0195614,DriveNow,3,9km,30,26€,20.5.2017,15.11,11.43486893,48.9887242,85%
WAUKGAFB4AN704237,DriveNow,4,36km,4,61€,25.1.2017,3.23,11.78991766,48.10168603,77%
4USBU33566L734925,DriveNow,5,43km,26,84€,14.8.2017,19.40,11.51200208,48.2721581,50%
19UUA8F23CA689523,DriveNow,5,88km,24,28€,17.10.2018,9.50,11.60402022,48.3495632,56%
WAUVT58E55A804545,Car2Go,2,27km,30,69€,11.9.2019,4.30,11.49433512,48.9561830,3%
JH4DC54825S798162,DriveNow,2,76km,3,72€,3.4.2019,2.57,11.80669386,48.6836661,99%
5N1AZ2MG6FN204385,DriveNow,5,79km,9,93€,18.1.2019,19.19,11.67598014,48.22151310,63%
19UYA41703A011485,Car2Go,2,45km,18,33€,20.11.2017,3.23,11.36343693,48.26608911,32%
KNAGM4AD6D5021484,Car2Go,3,49km,4,57€,13.7.2018,6.20,11.21038275,48.7911599,11%
TRUUT28N651615924,DriveNow,4,35km,30,63€,2.4.2018,22.46,11.62204016,48.8579147,55%
SAJWA6BC6F8083429,Car2Go,4,24km,19,76€,3.11.2018,8.8,11.53091075,48.8355652,65%
WAUKGAFB1AN596479,Car2Go,3,28km,3,49€,23.9.2019,13.5,11.49899777,48.15556243,92%
WAULT58E34A657213,DriveNow,5,80km,6,90€,18.1.2018,12.59,11.23761483,48.17613762,92%
